Confound,Conf_time_point,Model,h5name,Accuracy BL,Std-Dev BL,Accuracy CB,Std-Dev CB,Accuracy Diff CB - BL,Std-Dev Diff CB - BL,h5cat,category,abs_diff,rank
Extroversion,BL,SVM-rbf,posthoc-cc3-h5causal0-Extroversion,65.31135830530992,6.4105673663329785,65.4090510441317,5.4985573477098875,0.0976927388217641,4.681118620005581,h5causal0,Personality,0.0976927388217641,96
Bullying_victim,BL,SVM-rbf,posthoc-cc3-h5causal1-Bullying_victim,68.93054970581103,3.731468072745593,69.11414659672499,5.1820065115642855,0.1835968909139618,3.6287505931469135,h5causal1,Social,0.1835968909139618,117
Conflict_tactics_parent_mean_negotiation,BL,SVM-rbf,posthoc-cc3-h5causal1-Conflict_tactics_parent_mean_negotiation,68.93054970581103,3.731468072745593,69.1452885094,3.1182124025726665,0.21473880358897635,3.026743831972792,h5causal1,Familial risk,0.21473880358897635,118
Deviance_valFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Deviance_valFU3,65.31135830530992,6.4105673663329785,65.63258967492838,5.03889726678199,0.32123136961845766,3.015425306579552,h5causal0,Biographic,0.32123136961845766,97
Sexuality_valFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Sexuality_valFU3,65.31135830530992,6.4105673663329785,65.66344570376829,8.294921376988741,0.3520873984583561,4.119642511127599,h5causal0,Biographic,0.3520873984583561,98
Physical_health_conditionsFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Physical_health_conditionsFU3,65.31135830530992,6.4105673663329785,65.66394303289465,5.12024136310567,0.35258472758472603,3.7317458386836733,h5causal0,Health,0.35258472758472603,99
Alc-lastmnt,BL,SVM-rbf,posthoc-cc3-h5causal0-Alc-lastmnt,65.31135830530992,6.4105673663329785,65.75411096580451,4.764123662274434,0.44275266049458306,3.1660548047855217,h5causal0,Alcohol,0.44275266049458306,100
Comp_sub_abuse_lftFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Comp_sub_abuse_lftFU3,65.31135830530992,6.4105673663329785,65.82801839858291,6.0860493716964355,0.5166600932729803,5.810474461202916,h5causal0,Addiction-related,0.5166600932729803,101
Total_freq,BL,SVM-rbf,posthoc-cc3-h5causal0-Total_freq,65.31135830530992,6.4105673663329785,65.92804642199805,5.487703037688782,0.6166881166881133,3.697295461303693,h5causal0,Biographic,0.6166881166881133,102
QOL_mentally_unhealthy_daysFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-QOL_mentally_unhealthy_daysFU3,65.31135830530992,6.4105673663329785,65.93323594331657,5.444857216022715,0.6218776380066515,5.626270628189327,h5causal0,Health,0.6218776380066515,103
Psychoticism_BSIFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Psychoticism_BSIFU3,65.31135830530992,6.4105673663329785,65.9669245858762,6.363614999870228,0.6555662805662665,5.049741883709963,h5causal0,Comorbid,0.6555662805662665,104
Sexuality_val,BL,SVM-rbf,posthoc-cc3-h5causal0-Sexuality_val,65.31135830530992,6.4105673663329785,66.04165369286336,4.027358523879326,0.7302953875534368,6.738622425622134,h5causal0,Biographic,0.7302953875534368,105
Relocation_valFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Relocation_valFU3,65.31135830530992,6.4105673663329785,66.07501799034056,4.673797721292745,0.7636596850306265,7.590085920445472,h5causal0,Biographic,0.7636596850306265,106
Physical_developmet,BL,SVM-rbf,posthoc-cc3-h5causal0-Physical_developmet,65.31135830530992,6.4105673663329785,66.13132429664688,5.642246194709475,0.8199659913369461,3.213025243938185,h5causal0,Health,0.8199659913369461,107
AnxietyFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-AnxietyFU3,65.31135830530992,6.4105673663329785,66.20806434314498,6.235955064463767,0.8967060378350489,4.986322075913369,h5causal0,Comorbid,0.8967060378350489,108
RuminationFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-RuminationFU3,65.31135830530992,6.4105673663329785,66.28197177592338,5.043328624192838,0.9706134706134573,5.606446769313635,h5causal0,Comorbid,0.9706134706134573,109
Negative_affectFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Negative_affectFU3,65.31135830530992,6.4105673663329785,66.3992765807282,6.502742454818487,1.0879182754182648,7.349711828972431,h5causal0,Personality,1.0879182754182648,110
Social_difficulties_impact,BL,SVM-rbf,posthoc-cc3-h5causal0-Social_difficulties_impact,65.31135830530992,6.4105673663329785,66.48239541384704,3.0498925616062627,1.1710371085371096,4.209550094021676,h5causal0,Social,1.1710371085371096,111
Impulsivity_SURPSFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Impulsivity_SURPSFU3,65.31135830530992,6.4105673663329785,66.53768543889512,6.295865489210146,1.2263271335851922,5.333378241707228,h5causal0,Personality,1.2263271335851922,112
