,Confound,Conf_time_point,Model,h5name,Accuracy BL,Std-Dev BL,Accuracy CB,Std-Dev CB,Accuracy Diff CB - BL,Std-Dev Diff CB - BL,h5cat,category,abs_diff,rank
471,Eating_behavior_uncontrolled_eatingFU3,BL,SVM-rbf,posthoc-cc2-h5causal0-Eating_behavior_uncontrolled_eatingFU3,65.1323846888363,4.886871320247069,58.512197982641325,6.129374073486909,-6.620186706194975,1.5543122344752192e-13,h5causal0,Addiction-related,6.620186706194975,1
143,Alc_lastmnt_TLFBFU3,BL,SVM-rbf,posthoc-cc2-h5causal0-Alc_lastmnt_TLFBFU3,65.1323846888363,4.886871320247069,60.2500195480491,6.764973816548424,-4.882365140787193,-1.9508204575556324e-13,h5causal0,Alcohol,4.882365140787193,6
311,Psychiatric_symptoms_PHQFU3,BL,SVM-rbf,posthoc-cc2-h5causal0-Psychiatric_symptoms_PHQFU3,65.1323846888363,4.886871320247069,58.85675883256527,7.086157087870415,-6.275625856271027,2.4107699963289115e-13,h5causal0,Comorbid,6.275625856271027,3
159,QOL_activity_limitation_daysFU3,BL,SVM-rbf,posthoc-cc2-h5causal0-QOL_activity_limitation_daysFU3,65.1323846888363,4.886871320247069,69.28896020773901,3.8887971919176527,4.156575518902706,6.97854472621527e-14,h5causal0,Health,4.156575518902706,116
391,Sensation_seeking,BL,SVM-rbf,posthoc-cc2-h5causal0-Sensation_seeking,65.1323846888363,4.886871320247069,61.0713031579967,4.79834094277347,-4.061081530839594,-1.8397981550931168e-13,h5causal0,Personality,4.061081530839594,8
315,Eating_behavior_uncontrolled_eatingFU3,BL,SVM-rbf,posthoc-cc2-h5causal1-Eating_behavior_uncontrolled_eatingFU3,67.67246110451686,2.8108586929134662,64.24608819345661,9.27887752535302,-3.426372911060249,1.7763568394002505e-13,h5causal1,Addiction-related,3.426372911060249,11
467,Alc_lastmnt_TLFBFU3,BL,SVM-rbf,posthoc-cc2-h5causal1-Alc_lastmnt_TLFBFU3,67.67246110451686,2.8108586929134662,60.612028284442076,5.989168422545121,-7.06043282007478,6.344131569286609e-14,h5causal1,Alcohol,7.06043282007478,1
183,Psychiatric_symptoms_PHQFU3,BL,SVM-rbf,posthoc-cc2-h5causal1-Psychiatric_symptoms_PHQFU3,67.67246110451686,2.8108586929134662,65.78335879806467,2.470403782978279,-1.889102306452184,4.472612756347059e-13,h5causal1,Comorbid,1.889102306452184,26
179,QOL_activity_limitation_daysFU3,BL,SVM-rbf,posthoc-cc2-h5causal1-QOL_activity_limitation_daysFU3,67.67246110451686,2.8108586929134662,68.23466381714137,5.044938191851853,0.5622027126245044,-2.8945100284870155e-13,h5causal1,Health,0.5622027126245044,93
291,Sensation_seeking,BL,SVM-rbf,posthoc-cc2-h5causal1-Sensation_seeking,67.67246110451686,2.8108586929134662,66.1697361871578,3.7329285481893786,-1.5027249173590662,-8.247371040072592e-14,h5causal1,Personality,1.5027249173590662,38
