Confound,Conf_time_point,Model,h5name,Accuracy BL,Std-Dev BL,Accuracy CB,Std-Dev CB,Accuracy Diff CB - BL,Std-Dev Diff CB - BL,h5cat,category
Alc-lastmntFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Alc-lastmntFU3,0.6531135830530993,0.06410567366332978,0.5709569736787479,0.029792808616329776,-0.08215660937435143,0.05879379249297616,h5causal0,Alcohol
Alcohol_problem_indexFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Alcohol_problem_indexFU3,0.6531135830530993,0.06410567366332978,0.5714465185231316,0.04743398733561513,-0.08166706452996775,0.05396152469602732,h5causal0,Alcohol
Sensation_seeking,BL,SVM-rbf,posthoc-cc3-h5causal0-Sensation_seeking,0.6687470160252419,0.06645272979130618,0.5978464783908334,0.05126935437987416,-0.07090053763440851,0.027506902167120442,h5causal0,Personality
Eating_behavior_uncontrolled_eatingFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Eating_behavior_uncontrolled_eatingFU3,0.6165099268547545,0.07708676586236615,0.5517934446505874,0.07430372216704872,-0.06471648220416704,0.06606138575509393,h5causal0,Addiction-related
Novelty_seeking,BL,SVM-rbf,posthoc-cc3-h5causal0-Novelty_seeking,0.6742271505376344,0.05858729785788719,0.621311763952893,0.07743990612707169,-0.052915386584741375,0.03319890754609288,h5causal0,Personality
ConscientiousnessFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-ConscientiousnessFU3,0.6712589605734768,0.07026263630396863,0.6223918330773169,0.0730612555647204,-0.048867127496159846,0.06357686998009028,h5causal0,Personality
Sexuality_freqFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Sexuality_freqFU3,0.6531135830530993,0.06410567366332978,0.6095451730532375,0.042413373871576156,-0.04356840999986178,0.03343795249727896,h5causal0,Biographic
Smoking_lifetimeFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Smoking_lifetimeFU3,0.6531135830530993,0.06410567366332978,0.6098234611339449,0.08759542018148934,-0.04329012191915438,0.04922475460714853,h5causal0,Addiction-related
Autonomy_freq,BL,SVM-rbf,posthoc-cc3-h5causal0-Autonomy_freq,0.6852189397264282,0.08166247221011963,0.642770965913247,0.07743141499109492,-0.04244797381318122,0.037568351867732774,h5causal0,Biographic
Conformity_drinking_motiveFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Conformity_drinking_motiveFU3,0.6531135830530993,0.06410567366332978,0.6136005677336323,0.05192540387003252,-0.03951301531946705,0.05617985893886258,h5causal0,Alcohol
Psychiatric_symptoms_PHQFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Psychiatric_symptoms_PHQFU3,0.6322503840245774,0.052720216268402446,0.5942665130568356,0.06705709812941597,-0.037983870967741806,0.061891030629721615,h5causal0,Comorbid
Family_valFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Family_valFU3,0.6531135830530993,0.06410567366332978,0.6154367933601806,0.07417674145214541,-0.037676789692918655,0.024736517341863,h5causal0,Biographic
