Confound,Conf_time_point,Model,h5name,n_samples BL,Accuracy BL,Std-Dev BL,n_samples CB,Accuracy CB,Std-Dev CB,Accuracy Diff CB - BL,Std-Dev Diff CB - BL,h5cat,category
Alc-lastmntFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Alc-lastmntFU3,477,0.6734508846404008,0.034156137342703605,477,0.5752251387332032,0.023872290520952757,-0.09822574590719757,0.03077295006137983,h5causal0,Alcohol
Alcohol_problem_indexFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Alcohol_problem_indexFU3,477,0.6734508846404008,0.034156137342703605,477,0.585673807448001,0.04237701300216831,-0.0877770771923998,0.04299097935433648,h5causal0,Alcohol
Age_first_drunkFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Age_first_drunkFU3,477,0.6734508846404008,0.034156137342703605,477,0.588390089398154,0.07585763019483374,-0.08506079524224686,0.05106949116519444,h5causal0,Alcohol
Sensation_seeking,BL,SVM-rbf,posthoc-cc3-h5causal0-Sensation_seeking,477,0.6734508846404008,0.034156137342703605,477,0.5940339100621358,0.04581653776341311,-0.07941697457826502,0.042155272108947865,h5causal0,Personality
Alc-last12mntFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Alc-last12mntFU3,477,0.6734508846404008,0.034156137342703605,477,0.595547520446714,0.07103509285348981,-0.07790336419368682,0.05292357673861338,h5causal0,Alcohol
Accident_val,BL,SVM-rbf,posthoc-cc3-h5causal0-Accident_val,477,0.6734508846404008,0.034156137342703605,477,0.608553109561174,0.04741764374712145,-0.06489777507922678,0.017772398171241512,h5causal0,Biographic
Drug_abuse_screening_parent,BL,SVM-rbf,posthoc-cc3-h5causal0-Drug_abuse_screening_parent,477,0.6734508846404008,0.034156137342703605,477,0.6108339041806784,0.06071912827405173,-0.06261698045972242,0.03574094806372545,h5causal0,Familial risk
Eating_behavior_uncontrolled_eatingFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Eating_behavior_uncontrolled_eatingFU3,477,0.6734508846404008,0.034156137342703605,477,0.6113515589322042,0.07599673940807879,-0.06209932570819665,0.05735360510725134,h5causal0,Addiction-related
Conformity_drinking_motiveFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Conformity_drinking_motiveFU3,477,0.6734508846404008,0.034156137342703605,477,0.6117572065152711,0.055389967206445456,-0.061693678125129714,0.036664748414332225,h5causal0,Alcohol
Smoking_lifetimeFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Smoking_lifetimeFU3,477,0.6734508846404008,0.034156137342703605,477,0.6122348587066329,0.08144830232579112,-0.06121602593376796,0.05902716159819354,h5causal0,Addiction-related
Neuroticism,BL,SVM-rbf,posthoc-cc3-h5causal0-Neuroticism,477,0.6734508846404008,0.034156137342703605,477,0.6127287281521152,0.052993388370871974,-0.060722156488285606,0.03823810715599874,h5causal0,Personality
Autonomy_freq,BL,SVM-rbf,posthoc-cc3-h5causal0-Autonomy_freq,477,0.6734508846404008,0.034156137342703605,477,0.6139590771647223,0.058754199460695815,-0.059491807475678504,0.03203634628117455,h5causal0,Biographic
Sexuality_freqFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Sexuality_freqFU3,477,0.6734508846404008,0.034156137342703605,477,0.6154439289519935,0.044788109457786364,-0.0580069556884073,0.020200270377052444,h5causal0,Biographic
Autonomy_freqFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Autonomy_freqFU3,477,0.6734508846404008,0.034156137342703605,477,0.6187905215122956,0.06315630540937192,-0.05466036312810518,0.04154013950835577,h5causal0,Biographic
NeuroticismFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-NeuroticismFU3,477,0.6734508846404008,0.034156137342703605,477,0.6202012063907226,0.06415838091699053,-0.05324967824967819,0.04096376433888216,h5causal0,Personality
HopelessnessFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-HopelessnessFU3,477,0.6734508846404008,0.034156137342703605,477,0.6206922648454907,0.06210232123546876,-0.052758619794910144,0.04241610216470285,h5causal0,Personality
Alc_lastmnt_TLFB,BL,SVM-rbf,posthoc-cc3-h5causal0-Alc_lastmnt_TLFB,477,0.6734508846404008,0.034156137342703605,477,0.622265987185342,0.08026995987356127,-0.05118489745505883,0.05717244614406965,h5causal0,Alcohol
Autonomy_valFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Autonomy_valFU3,477,0.6734508846404008,0.034156137342703605,477,0.6240589668009024,0.05091913297367911,-0.04939191783949837,0.0641376814489791,h5causal0,Biographic
Distress_freq,BL,SVM-rbf,posthoc-cc3-h5causal0-Distress_freq,477,0.6734508846404008,0.034156137342703605,477,0.6248415033697291,0.06294696246089336,-0.048609381270671714,0.04511192138812782,h5causal0,Biographic
Deviance_val,BL,SVM-rbf,posthoc-cc3-h5causal0-Deviance_val,477,0.6734508846404008,0.034156137342703605,477,0.6262206186601348,0.04493785246308484,-0.04723026598026603,0.038986581867988396,h5causal0,Biographic
Openness,BL,SVM-rbf,posthoc-cc3-h5causal0-Openness,477,0.6734508846404008,0.034156137342703605,477,0.6266647551929809,0.05186397231146012,-0.04678612944741989,0.041508265537339765,h5causal0,Personality
Eating_behavior_emotional_eatingFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Eating_behavior_emotional_eatingFU3,477,0.6734508846404008,0.034156137342703605,477,0.6274239389158743,0.06197723473218074,-0.04602694572452648,0.03818411229631711,h5causal0,Addiction-related
Depression_CESDFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Depression_CESDFU3,477,0.6734508846404008,0.034156137342703605,477,0.6279800826171795,0.046906924776555683,-0.04547080202322129,0.037010800419208685,h5causal0,Comorbid
Agreeableness,BL,SVM-rbf,posthoc-cc3-h5causal0-Agreeableness,477,0.6734508846404008,0.034156137342703605,477,0.6283976228532681,0.05526978980167806,-0.04505326178713276,0.03423801738838069,h5causal0,Personality
Family_valFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Family_valFU3,477,0.6734508846404008,0.034156137342703605,477,0.6292921665905536,0.07333110846835479,-0.04415871804984717,0.04995825020891891,h5causal0,Biographic
Total_valFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Total_valFU3,477,0.6734508846404008,0.034156137342703605,477,0.6299224772007029,0.06421993635411305,-0.04352840743969788,0.0462562822098588,h5causal0,Biographic
Eating_disorder_restraintFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Eating_disorder_restraintFU3,477,0.6734508846404008,0.034156137342703605,477,0.630331368234594,0.05370605383595266,-0.0431195164058068,0.026996735165540613,h5causal0,Addiction-related
Distress_val,BL,SVM-rbf,posthoc-cc3-h5causal0-Distress_val,477,0.6734508846404008,0.034156137342703605,477,0.6308777815834267,0.06317557603986881,-0.04257310305697415,0.04003832905819755,h5causal0,Biographic
Relocation_freq,BL,SVM-rbf,posthoc-cc3-h5causal0-Relocation_freq,477,0.6734508846404008,0.034156137342703605,477,0.6310282777016648,0.061670270106606834,-0.04242260693873601,0.054714423800489416,h5causal0,Biographic
Relocation_val,BL,SVM-rbf,posthoc-cc3-h5causal0-Relocation_val,477,0.6734508846404008,0.034156137342703605,477,0.6324026359308618,0.062371240590691567,-0.04104824870953905,0.03530593708068497,h5causal0,Biographic
