,Confound,Conf_time_point,Model,h5name,Accuracy BL,Std-Dev BL,Accuracy CB,Std-Dev CB,Accuracy Diff CB - BL,Std-Dev Diff CB - BL,h5cat,category,abs_diff,rank
101,Comp_sub_abuse_lftFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Comp_sub_abuse_lftFU3,65.31135830530992,6.4105673663329785,65.82801839858291,6.0860493716964355,0.5166600932729803,5.810474461202916,h5causal0,Addiction-related,0.5166600932729803,101
299,Drugs_lastmnt_TLFBFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Drugs_lastmnt_TLFBFU3,65.31135830530992,6.4105673663329785,64.24992821162176,3.6875344808720145,-1.0614300936881649,4.481011508075412,h5causal0,Addiction-related,1.0614300936881649,63
197,Eating_behavior_cog_retrstraintFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Eating_behavior_cog_retrstraintFU3,65.31135830530992,6.4105673663329785,62.76384391303746,6.260296995458638,-2.5475143922724652,3.6048714739879104,h5causal0,Addiction-related,2.5475143922724652,25
203,Eating_behavior_emotional_eatingFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Eating_behavior_emotional_eatingFU3,65.31135830530992,6.4105673663329785,64.11000574307025,8.275304530766189,-1.201352562239677,3.497249086597677,h5causal0,Addiction-related,1.201352562239677,54
26,Eating_behavior_uncontrolled_eatingFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Eating_behavior_uncontrolled_eatingFU3,65.31135830530992,6.4105673663329785,59.9106667151022,5.9793097715469266,-5.400691590207729,4.052799934713727,h5causal0,Addiction-related,5.400691590207729,4
89,Eating_disorder_eat_concernFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Eating_disorder_eat_concernFU3,65.31135830530992,6.4105673663329785,65.12215700723765,4.750121835307915,-0.18920129807228347,4.140992030304353,h5causal0,Addiction-related,0.18920129807228347,87
230,Eating_disorder_restraintFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Eating_disorder_restraintFU3,65.31135830530992,6.4105673663329785,62.779434099998625,5.35089521581867,-2.531924205311309,2.7304767442095574,h5causal0,Addiction-related,2.531924205311309,28
140,Eating_disorder_shape_concernFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Eating_disorder_shape_concernFU3,65.31135830530992,6.4105673663329785,66.7149724609402,4.107105287969277,1.4036141556302728,4.790775406445804,h5causal0,Addiction-related,1.4036141556302728,114
278,Eating_disorder_weight_concernFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Eating_disorder_weight_concernFU3,65.31135830530992,6.4105673663329785,63.25851340972309,5.665106932524476,-2.052844895586836,2.8005448197674996,h5causal0,Addiction-related,2.052844895586836,34
56,Smoking_lifetimeFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Smoking_lifetimeFU3,65.31135830530992,6.4105673663329785,60.98234611339449,8.759542018148935,-4.329012191915438,4.922475460714852,h5causal0,Addiction-related,4.329012191915438,8
